  n age tenure level dept
  1  33  9.333     3    4
  2  42 19.583     2    4
  3  40 12.750     3    2
  4  33  7.500     3    4
  5  32  3.333     3    2
  6  59 28.000     3    1
  7  55 30.000     1    0
  8  34 11.333     3    1
  9  62  5.417     3    2
 10  37  9.250     3    3
 11  46 27.000     3    3
 12  34  8.917     3    1
 13  48  0.250     3    2
 14  43 10.417     2    2
 15  40  8.417     3    2
 16  27  4.667     3    4
 17  30 12.417     3    1
 18  33  9.083     2    3
 19  32  4.833     3    2
 20  38 11.667     3    2
 21  36 12.500     2    1
