Roethlisberger & Dickson Bank Wiring Room
http://vlado.fmf.uni-lj.si/pub/networks/data/ucinet/ucidata.htm
http://www.casos.cs.cmu.edu/computational_tools/datasets/external/wiring/index11.php
nodes: I1,I3,W1,W2,W3,W4,W5,W6,W7,W8,W9,S1,S2,S4,
source;target;relation;w
I1;W1;RDGAM;1
I1;W2;RDGAM;1
I1;W3;RDGAM;1
I1;W4;RDGAM;1
W1;I1;RDGAM;1
W1;W2;RDGAM;1
W1;W3;RDGAM;1
W1;W4;RDGAM;1
W1;W5;RDGAM;1
W1;S1;RDGAM;1
W2;I1;RDGAM;1
W2;W1;RDGAM;1
W2;W3;RDGAM;1
W2;W4;RDGAM;1
W2;S1;RDGAM;1
W3;I1;RDGAM;1
W3;W1;RDGAM;1
W3;W2;RDGAM;1
W3;W4;RDGAM;1
W3;W5;RDGAM;1
W3;S1;RDGAM;1
W4;I1;RDGAM;1
W4;W1;RDGAM;1
W4;W2;RDGAM;1
W4;W3;RDGAM;1
W4;W5;RDGAM;1
W4;S1;RDGAM;1
W5;W1;RDGAM;1
W5;W3;RDGAM;1
W5;W4;RDGAM;1
W5;W7;RDGAM;1
W5;S1;RDGAM;1
W6;W7;RDGAM;1
W6;W8;RDGAM;1
W6;W9;RDGAM;1
W7;W5;RDGAM;1
W7;W6;RDGAM;1
W7;W8;RDGAM;1
W7;W9;RDGAM;1
W7;S4;RDGAM;1
W8;W6;RDGAM;1
W8;W7;RDGAM;1
W8;W9;RDGAM;1
W8;S4;RDGAM;1
W9;W6;RDGAM;1
W9;W7;RDGAM;1
W9;W8;RDGAM;1
W9;S4;RDGAM;1
S1;W1;RDGAM;1
S1;W2;RDGAM;1
S1;W3;RDGAM;1
S1;W4;RDGAM;1
S1;W5;RDGAM;1
S4;W7;RDGAM;1
S4;W8;RDGAM;1
S4;W9;RDGAM;1
W4;W5;RDCON;1
W4;W6;RDCON;1
W4;W7;RDCON;1
W4;W9;RDCON;1
W5;W4;RDCON;1
W5;W6;RDCON;1
W5;S1;RDCON;1
W6;W4;RDCON;1
W6;W5;RDCON;1
W6;W7;RDCON;1
W6;W8;RDCON;1
W6;W9;RDCON;1
W6;S1;RDCON;1
W6;S4;RDCON;1
W7;W4;RDCON;1
W7;W6;RDCON;1
W7;W8;RDCON;1
W7;W9;RDCON;1
W7;S4;RDCON;1
W8;W6;RDCON;1
W8;W7;RDCON;1
W8;W9;RDCON;1
W8;S1;RDCON;1
W8;S4;RDCON;1
W9;W4;RDCON;1
W9;W6;RDCON;1
W9;W7;RDCON;1
W9;W8;RDCON;1
W9;S1;RDCON;1
S1;W5;RDCON;1
S1;W6;RDCON;1
S1;W8;RDCON;1
S1;W9;RDCON;1
S1;S4;RDCON;1
S4;W6;RDCON;1
S4;W7;RDCON;1
S4;W8;RDCON;1
S4;S1;RDCON;1
I1;W3;RDPOS;1
W1;W3;RDPOS;1
W1;W4;RDPOS;1
W1;S1;RDPOS;1
W3;I1;RDPOS;1
W3;W1;RDPOS;1
W3;W4;RDPOS;1
W3;S1;RDPOS;1
W4;W1;RDPOS;1
W4;W3;RDPOS;1
W4;S1;RDPOS;1
W7;W8;RDPOS;1
W7;W9;RDPOS;1
W7;S1;RDPOS;1
W8;W7;RDPOS;1
W8;W9;RDPOS;1
W8;S4;RDPOS;1
W9;W7;RDPOS;1
W9;W8;RDPOS;1
W9;S4;RDPOS;1
S1;W1;RDPOS;1
S1;W3;RDPOS;1
S1;W4;RDPOS;1
S1;W7;RDPOS;1
S4;W8;RDPOS;1
S4;W9;RDPOS;1
I1;I3;RDNEG;1
I1;W2;RDNEG;1
I3;I1;RDNEG;1
I3;W5;RDNEG;1
I3;W6;RDNEG;1
I3;W7;RDNEG;1
I3;W8;RDNEG;1
I3;W9;RDNEG;1
I3;S4;RDNEG;1
W2;I1;RDNEG;1
W2;W7;RDNEG;1
W2;W8;RDNEG;1
W2;W9;RDNEG;1
W4;W5;RDNEG;1
W5;I3;RDNEG;1
W5;W4;RDNEG;1
W5;W6;RDNEG;1
W5;W7;RDNEG;1
W5;W8;RDNEG;1
W5;W9;RDNEG;1
W5;S1;RDNEG;1
W5;S2;RDNEG;1
W6;I3;RDNEG;1
W6;W5;RDNEG;1
W6;W7;RDNEG;1
W7;I3;RDNEG;1
W7;W2;RDNEG;1
W7;W5;RDNEG;1
W7;W6;RDNEG;1
W8;I3;RDNEG;1
W8;W2;RDNEG;1
W8;W5;RDNEG;1
W9;I3;RDNEG;1
W9;W2;RDNEG;1
W9;W5;RDNEG;1
S1;W5;RDNEG;1
S2;W5;RDNEG;1
S4;I3;RDNEG;1
W1;W3;RDHLP;1
W1;W9;RDHLP;1
W1;S1;RDHLP;1
W2;W3;RDHLP;1
W2;W4;RDHLP;1
W2;S1;RDHLP;1
W3;W2;RDHLP;1
W4;W1;RDHLP;1
W4;W3;RDHLP;1
W4;W6;RDHLP;1
W5;W3;RDHLP;1
W6;W3;RDHLP;1
W6;W7;RDHLP;1
W6;W8;RDHLP;1
W6;W9;RDHLP;1
W7;S4;RDHLP;1
W8;W6;RDHLP;1
W8;W7;RDHLP;1
W8;W9;RDHLP;1
W9;S4;RDHLP;1
S1;W7;RDHLP;1
S2;W6;RDHLP;1
S4;W4;RDHLP;1
S4;W8;RDHLP;1
W1;S1;RDJOB;2
W2;S1;RDJOB;12
W2;S4;RDJOB;4
W5;S4;RDJOB;7
W6;S2;RDJOB;2
W7;S4;RDJOB;2
W8;S4;RDJOB;20
